GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US73430,73430,ZCTA5 73430,1313,213,1313,213,1136,200,0,9,136,73,0,9,0,9,0,9,41,48,0,9,41,48,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
8600000US73931,73931,ZCTA5 73931,473,94,429,85,429,85,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,44,36,12,17,0,9,0,9,0,9,0,9,32,32,0,9,0,9,0,9
8600000US73949,73949,ZCTA5 73949,1434,219,944,149,943,150,0,11,0,11,0,11,0,11,0,11,1,3,0,11,1,3,490,153,128,57,0,11,0,11,0,11,0,11,357,151,5,5,5,5,0,11
8600000US75001,75001,ZCTA5 75001,14617,291,11204,572,6962,564,1650,421,25,25,1811,535,0,21,14,14,742,180,0,21,742,180,3413,500,1116,365,35,32,45,74,6,10,0,21,1879,541,332,168,218,151,114,73
8600000US75002,75002,ZCTA5 75002,69688,1186,59791,1480,44243,1489,6874,919,204,118,6538,803,65,100,64,69,1803,457,27,36,1776,453,9897,1269,7603,1265,40,49,139,117,34,52,0,31,1356,529,725,378,224,135,501,371
8600000US75006,75006,ZCTA5 75006,50788,474,24759,942,16404,829,4037,573,80,61,3681,495,19,31,8,13,530,209,0,31,530,209,26029,1076,21750,1246,95,78,37,30,48,67,0,31,3836,861,263,114,159,91,104,66
8600000US75007,75007,ZCTA5 75007,53744,1333,39389,1314,25106,986,4795,674,54,47,8360,736,12,19,29,36,1033,256,41,40,992,254,14355,1047,12421,1051,86,60,217,117,0,31,0,31,1222,382,409,122,263,115,146,68
8600000US75009,75009,ZCTA5 75009,10557,774,8389,728,7929,754,196,153,0,21,69,56,0,21,0,21,195,144,0,21,195,144,2168,549,1575,488,130,217,0,21,0,21,0,21,389,285,74,94,44,80,30,50
8600000US75010,75010,ZCTA5 75010,27822,1099,23909,949,12686,771,3282,636,197,207,6976,902,112,158,0,25,656,263,45,80,611,254,3913,757,3343,755,140,133,5,13,0,25,0,25,175,107,250,235,202,228,48,63
8600000US75013,75013,ZCTA5 75013,38975,1118,36560,1195,23655,1214,2248,532,72,57,9623,769,0,28,96,121,866,391,0,28,866,391,2415,561,1878,551,15,23,0,28,32,52,0,28,207,153,283,194,75,78,208,185
8600000US75019,75019,ZCTA5 75019,41947,365,36866,581,24303,740,1736,468,201,195,9653,591,0,28,57,63,916,287,34,31,882,289,5081,517,4507,540,27,33,0,28,35,37,0,28,393,152,119,79,72,66,47,46
