GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US73430,73430,ZCTA5 73430,1225,175,1225,175,1123,173,0,9,92,63,10,17,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
8600000US73931,73931,ZCTA5 73931,646,127,577,117,577,117,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,69,57,35,34,0,9,0,9,0,9,0,9,34,47,0,9,0,9,0,9
8600000US73949,73949,ZCTA5 73949,1477,202,975,156,971,156,0,11,0,11,2,3,0,11,0,11,2,3,0,11,2,3,502,158,106,44,0,11,0,11,0,11,0,11,394,150,2,3,2,3,0,11
8600000US75001,75001,ZCTA5 75001,14128,285,10851,630,7403,543,1594,335,25,23,1477,414,0,20,0,20,352,116,16,29,336,108,3277,561,1854,459,24,26,43,65,6,9,0,20,1183,420,167,110,116,96,51,50
8600000US75002,75002,ZCTA5 75002,68347,1076,59100,1440,44531,1589,6441,872,284,187,6020,958,41,78,87,78,1696,551,119,104,1577,549,9247,966,7429,985,96,85,151,195,15,23,0,30,1116,500,440,248,285,201,155,112
8600000US75006,75006,ZCTA5 75006,49620,425,24985,880,17810,667,3234,581,45,39,3389,519,0,27,65,100,442,150,20,31,422,146,24635,916,20161,1004,82,66,121,77,51,72,0,27,3893,791,327,146,241,130,86,74
8600000US75007,75007,ZCTA5 75007,53513,1043,39899,1260,26281,950,4010,537,74,63,8121,793,27,46,62,56,1324,346,9,14,1315,346,13614,1130,11582,1065,59,61,201,142,0,30,0,30,1253,413,519,226,296,121,223,165
8600000US75009,75009,ZCTA5 75009,9409,776,7951,700,7608,723,104,94,24,34,84,67,0,18,0,18,131,116,0,18,131,116,1458,391,697,296,65,103,0,18,0,18,0,18,680,402,16,26,0,18,16,26
8600000US75010,75010,ZCTA5 75010,24529,952,21321,1030,10614,1028,2999,702,122,98,6725,960,112,155,0,24,749,330,24,33,725,328,3208,559,2349,585,200,219,0,24,28,50,0,24,568,435,63,65,63,65,0,24
8600000US75013,75013,ZCTA5 75013,35568,999,33186,1011,22669,921,1821,625,116,95,7485,640,14,22,152,184,929,358,0,27,929,358,2382,432,1789,376,0,27,20,34,61,66,0,27,228,190,284,252,85,94,199,237
8600000US75019,75019,ZCTA5 75019,40610,309,36078,503,24942,772,1825,508,101,130,8348,598,0,27,45,56,817,262,21,23,796,255,4532,549,3491,415,47,48,0,27,32,35,0,27,792,464,170,93,88,61,82,73
8600000US75020,75020,ZCTA5 75020,22325,722,20305,743,17554,737,1598,336,313,154,201,124,20,25,86,102,533,160,0,24,533,160,2020,518,1556,505,10,16,8,15,0,24,0,24,372,213,74,66,74,66,0,24
8600000US75021,75021,ZCTA5 75021,7995,483,7301,432,6545,452,170,129,205,97,121,94,13,14,0,18,247,113,0,18,247,113,694,263,620,262,0,18,5,8,0,18,0,18,39,43,30,44,0,18,30,44
8600000US75022,75022,ZCTA5 75022,23626,685,21712,743,17913,726,455,226,14,22,2860,356,0,24,54,50,416,188,71,85,345,159,1914,389,1823,396,0,24,36,45,0,24,0,24,9,12,46,44,2,6,44,43
8600000US75023,75023,ZCTA5 75023,47787,928,40537,978,28877,1189,3803,752,139,94,6390,1040,7,10,52,69,1269,332,56,55,1213,321,7250,727,6394,682,54,42,0,27,32,36,0,27,574,279,196,96,129,89,67,48
8600000US75024,75024,ZCTA5 75024,40843,964,38197,1001,21201,891,2334,546,197,103,13702,1064,9,16,33,32,721,220,108,70,613,220,2646,495,2327,471,0,27,5,8,15,22,0,27,265,128,34,43,25,39,9,15
8600000US75025,75025,ZCTA5 75025,53483,1251,50097,1163,29588,1129,4068,640,131,93,15078,1027,0,30,91,72,1141,333,114,164,1027,264,3386,547,2831,472,11,19,56,87,89,100,0,30,257,148,142,100,58,53,84,83
8600000US75028,75028,ZCTA5 75028,45225,659,41025,767,33702,913,2414,644,291,123,3609,475,0,27,112,102,897,235,0,27,897,235,4200,570,3302,512,16,22,38,43,88,113,0,27,393,187,363,183,252,154,111,86
8600000US75032,75032,ZCTA5 75032,30877,834,25281,829,22187,872,1677,325,8,12,679,226,0,27,0,27,730,338,67,104,663,309,5596,609,5064,601,0,27,0,27,56,65,0,27,304,159,172,158,172,158,0,27
8600000US75034,75034,ZCTA5 75034,85700,1169,72300,1216,54307,1254,5717,658,286,138,9786,822,41,58,333,256,1830,430,103,81,1727,416,13400,1279,9025,1481,155,128,156,157,184,151,0,30,2989,826,891,343,587,270,304,229
8600000US75035,75035,ZCTA5 75035,56427,919,50537,1151,34603,1310,4461,609,181,136,9351,753,52,78,150,152,1739,447,113,98,1626,437,5890,677,4469,688,9,21,19,25,15,21,0,30,610,216,768,315,228,134,540,279
8600000US75038,75038,ZCTA5 75038,29643,1264,22849,1163,5983,676,7280,1013,63,54,8446,1075,205,147,170,190,702,254,151,155,551,214,6794,889,4905,847,154,149,21,20,58,71,0,24,1506,433,150,96,78,50,72,76
